numero_control,nombre_alumno,apellido_paterno,apellido_materno,correo_alumno,carrera,semestre,estatus_alumno
A2402309,Juana,Perez,Perez,A2402309@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402308,Alejandro,Montesinos,Lara,A2402308@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402307,Rosa María,Esquivel,Leyva,A2402307@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402306,Antonio,Becerra,Tovar,A2402306@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402305,Ximena,Cazares,Rivas,A2402305@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402303,Omar,Favela,Jurado,A2402303@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402304,Beatriz,Quiroz,Olmos,A2402304@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402302,Raúl,Magaña,Duarte,A2402302@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402301,Silvia,Armenta,Pardo,A2402301@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402300,Gerardo,Rangel,Soria,A2402300@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402299,Fátima,Noriega,Esparza,A2402299@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402298,Hugo,Briones,Lazcano,A2402298@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402297,Leticia,Perales,Guerra,A2402297@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402296,Óscar,Montaño,Varela,A2402296@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402295,Diana,Alanís,Trejo,A2402295@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402294,Samuel,Verdugo,Uribe,A2402294@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402293,Paola,Briceño,Zepeda,A2402293@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402292,Víctor,Granillo,Terán,A2402292@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
A2402291,Irene,Valladares,Ojeda,A2402291@tecnm.mx,Ingeniería en Sistemas Computacionales,4,Activo
